band_index,F_score,p_value
153,3.031740350918131,0.08833545517171446
154,2.996340956158218,0.09015624278883007
155,2.9633333145467367,0.09189196167841321
156,2.9298529207498407,0.093690921211079
402,2.9041087895669,0.09510110175817309
157,2.8953766060712716,0.09558482651821333
158,2.8586857286730853,0.09764780038215326
159,2.8209201794138012,0.09982369061121778
160,2.7830981876724827,0.10205775555124522
216,2.776464507434571,0.10245537916232608
161,2.743859344428068,0.10443534289831329
162,2.702815936533166,0.10698949833835777
163,2.6607851226330093,0.1096786454019479
403,2.637803452771196,0.11118137820924774
164,2.615778153736732,0.11264354183025184
165,2.569149498007123,0.115811702845654
166,2.5211106226431617,0.11918222045956782
215,2.502911279433265,0.1204882387544306
167,2.4705266798263517,0.12285284642681131
168,2.421055686477703,0.12656826630950838
404,2.3962861814192222,0.12847679965437322
169,2.3722130043706375,0.13036339352638576
170,2.3254898770954084,0.13411667906943495
171,2.280039500038927,0.13788764298921652
214,2.267080322803918,0.13898517169917196
172,2.2366862470349043,0.14159913756251333
173,2.1939809267009536,0.14536869411425007
405,2.1665959977638143,0.14784720813660945
174,2.152932456314694,0.14910219441523187
175,2.1126945373295665,0.1528706860817746
176,2.0725884401863515,0.15673785530030346
213,2.0655030319511023,0.15743287988655838
177,2.031014187796098,0.16086794339254334
178,1.9898058114125285,0.16508821884800307
406,1.951268084971492,0.16915329581067073
179,1.9491041805916864,0.16938502839523775
180,1.9082506204847403,0.17383121308397154
212,1.893697015989385,0.1754483701223368
181,1.8684830244592974,0.17829250029291707
182,1.8295444219174997,0.18279313977640152
183,1.7904568609143006,0.18744780440648856
407,1.7567211355115508,0.1915794537690029
184,1.7516200942128821,0.19221363966836857
211,1.7479523238124008,0.19267119139362926
185,1.7122866562468855,0.19718938863396823
186,1.6707995543049656,0.20260669479459323
187,1.6291704817930988,0.20822449955547187
210,1.6246081573187965,0.2088516032786838
825,1.5960038712621305,0.21283611972204095
188,1.5860356071550572,0.21424639713824742
408,1.5636899219229172,0.21744947057696154
679,1.5597120003240639,0.2180257964925995
666,1.5578451262519544,0.21829691589562697
674,1.547784155596286,0.21976516362799714
661,1.5434945579733783,0.2203948445133498
189,1.543257806441145,0.2204296622437619
669,1.5415698968441274,0.22067808930798494
671,1.5336378447479682,0.22185014187489274
651,1.533469584768746,0.2218750868832302
664,1.5327998909541978,0.22197440498489254
673,1.5325780463324346,0.22200731740961474
677,1.5256848109096552,0.2230329772411372
680,1.5243735334797541,0.22322874371737647
209,1.5205781837487988,0.22379656013956695
676,1.5203963612901055,0.22382380686588
665,1.5170093644739149,0.22433210674988924
